0.	1.830127018922193e-7	0.	0.	-1.7549831578151805e-13
414110.4749380471	1.8223602471653656e-7	-7.26393303370253e-8	-3.743574352621484e-15	-1.7523493998408204e-13
828220.9498760942	1.799244925085431e-7	-1.4506067733496434e-7	-7.398231204773e-15	-1.7444589912652308e-13
1.2423314248141414e6	1.761325526513253e-7	-2.1704695657928504e-7	-1.0880082013848173e-14	-1.7313444581489535e-13
1.6564418997521885e6	1.7094755861655217e-7	-2.883828757168859e-7	-1.4114773592567452e-14	-1.713059777926088e-13
2.0705523746902356e6	1.6448504770442735e-7	-3.5885581606774907e-7	-1.704103512513609e-14	-1.6896800325202652e-13
2.4846628496282827e6	1.5688280091785735e-7	-4.282566970736098e-7	-1.9612980257695776e-14	-1.661300926918289e-13
2.89877332456633e6	1.4829422821153795e-7	-4.963808180943444e-7	-2.180106153396271e-14	-1.62803817736379e-13
3.312883799504377e6	1.388816274842739e-7	-5.630286722584933e-7	-2.3591751212692157e-14	-1.5900267744530882e-13
3.726994274442424e6	1.2880980442460812e-7	-6.280067273154001e-7	-2.4986162144055902e-14	-1.5474201274842528e-13
4.141104749380471e6	1.1824043227621249e-7	-6.911281687205368e-7	-2.5997906969830426e-14	-1.5003890974177535e-13
4.555215224318518e6	1.0732739968981503e-7	-7.522136005099529e-7	-2.6650520335168826e-14	-1.4491209267434492e-13
4.969325699256565e6	9.621326363501998e-8	-8.110916998813012e-7	-2.6974746046847806e-14	-1.3938180754049416e-13
5.383436174194613e6	8.502681006418634e-8	-8.675998217940677e-7	-2.700593512341104e-14	-1.3346969727004116e-13
5.79754664913266e6	7.388163776550626e-8	-9.215845503266609e-7	-2.6781728945976866e-14	-1.27198669575158e-13
6.211657124070707e6	6.287562389964667e-8	-9.729021939788023e-7	-2.6340129199940697e-14	-1.2059275857031308e-13
6.625767599008754e6	5.209110109480542e-8	-1.021419222579882e-6	-2.571799331824699e-14	-1.1367698132783795e-13
7.039878073946801e6	4.159557046069303e-8	-1.067012643953059e-6	-2.4949946034109147e-14	-1.0647719056689946e-13
7.453988548884848e6	3.1442785943580965e-8	-1.1095703189862014e-6	-2.4067665621129718e-14	-9.901992469739477e-14
7.868099023822895e6	2.167406668445476e-8	-1.1489912142695348e-6	-2.309948584771399e-14	-9.133225645236345e-14
8.282209498760942e6	1.2319720064186385e-8	-1.18518559197116e-6	-2.207024856371421e-14	-8.344164134283823e-14
8.696319973698989e6	3.4004848946776616e-9	-1.2180751371306364e-6	-2.1001343747495245e-14	-7.537576715766798e-14
9.110430448637037e6	-5.071070911538634e-9	-1.2475930230527408e-6	-1.991088063942298e-14	-6.716240570789045e-14
9.524540923575085e6	-1.3089242369689161e-8	-1.2736839159735426e-6	-1.8813942768223882e-14	-5.882926798097269e-14
9.93865139851313e6	-2.0653995808534965e-8	-1.2963039206445336e-6	-1.7722889448227292e-14	-5.040386382504614e-14
1.0352761873451177e7	-2.7769906718027946e-8	-1.3154204689332351e-6	-1.6647675547338353e-14	-4.191336722762906e-14
1.0766872348389225e7	-3.4445230198877105e-8	-1.331012153966282e-6	-1.5596169375988904e-14	-3.338448818783495e-14
1.1180982823327273e7	-4.069110023291731e-8	-1.3430685127395388e-6	-1.4574455177353394e-14	-2.4843352106394576e-14
1.159509329826532e7	-4.652084951932512e-8	-1.351589760485634e-6	-1.3587111901612423e-14	-1.631538753475162e-14
1.2009203773203366e7	-5.1949439027865354e-8	-1.3565864804191707e-6	-1.2637463853286203e-14	-7.825223033876918e-15
1.2423314248141414e7	-5.699298520901177e-8	-1.358079272770794e-6	-1.172780160667534e-14	6.034062037784889e-16
1.2837424723079462e7	-6.166837256041238e-8	-1.3560983672707671e-6	-1.0859573502945182e-14	8.947741418615597e-15
1.3251535198017508e7	-6.59929396546051e-8	-1.3506832034486064e-6	-1.0033549274562159e-14	1.7186072591342555e-14
1.3665645672955554e7	-6.998422753727237e-8	-1.3418819832759858e-6	-9.249958064123922e-15	2.5297799661277262e-14
1.4079756147893602e7	-7.365978042815532e-8	-1.3297512007943326e-6	-8.50860345984369e-15	3.3263482436460324e-14
1.449386662283165e7	-7.703698977109519e-8	-1.3143551534355682e-6	-7.808958273363056e-15	4.106487909098467e-14
1.4907977097769696e7	-8.013297380014953e-8	-1.295765439764038e-6	-7.150241724247116e-15	4.8684973259436247e-14
1.5322087572707742e7	-8.296448586112656e-8	-1.274060448340042e-6	-6.531481533629675e-15	5.6107989851722374e-14
1.573619804764579e7	-8.554784572058273e-8	-1.2493248423312184e-6	-5.951563212792296e-15	6.331939982270048e-14
1.6150308522583839e7	-8.789888899159541e-8	-1.2216490443785154e-6	-5.409268592488652e-15	7.030591423879046e-14
1.6564418997521885e7	-9.003293060243014e-8	-1.1911287260602066e-6	-4.903305396351956e-15	7.70554680870873e-14
1.697852947245993e7	-9.196473893244382e-8	-1.1578643060924592e-6	-4.432329429698706e-15	8.355719437034581e-14
1.7392639947397977e7	-9.370851784521614e-8	-1.1219604611607684e-6	-3.994960740842177e-15	8.980138912262325e-14
1.7806750422336027e7	-9.527789437019905e-8	-1.08352565299604e-6	-3.589794919180919e-15	9.577946806442222e-14
1.8220860897274073e7	-9.668591023023297e-8	-1.0426716749954028e-6	-3.2154105237913186e-15	1.0148391569205455e-13
1.863497137221212e7	-9.79450157922378e-8	-9.99513221344556e-7	-2.8703734873557042e-15	1.0690822766289537e-13
1.904908184715017e7	-9.906706534089689e-8	-9.54167481229416e-7	-2.5532392113547473e-15	1.1204684739556624e-13
